Unnamed: 0,title,body,date,language,predicted_score
102,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
103,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
104,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
105,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
106,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
107,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
108,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
109,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
110,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
111,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
112,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
113,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
114,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
115,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
116,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
117,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
118,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
119,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
120,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
121,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
122,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
123,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
124,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
125,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
126,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
127,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
128,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
129,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
130,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
131,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
132,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
133,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
134,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
135,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
136,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
137,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
138,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
139,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
140,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
141,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
142,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
143,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
144,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
145,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
146,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
147,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
148,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
149,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
150,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
151,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
152,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
153,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
154,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
155,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
156,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
157,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
158,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
159,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
160,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
161,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
162,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
163,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
164,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
165,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
166,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
167,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
168,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
169,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
170,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
171,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
172,"HRS is great, hope it will grow.",initially changed hrs support local business found platform actual customer service really organize things something goes wrong really impressed business rates special offers greatest good platform easily finding place stay,"Date of experience: July 05, 2024",en,4
173,undependable and useless,would rate minus stars possible reservation cancelled accommodation providers sufficient rooms despite hrs advertising informed hrs cancellation showed pm pegasus motor inn serviced apartments brisbane phone of hour line apartments informed cancelled booking due vacancies hrs advertised room almost sleep pay avoid sleeping street thank nothing avoid avoid avoid,"Date of experience: October 05, 2024",en,0
174,Hotel didn't guarantee my reservation,hotel didst guarantee reservation done even notify issue credit carte old woman front desk respectful saying bad things german done even know speak language understood everything said would never use hotel would never use freaking app,"Date of experience: September 07, 2024",en,0
175,Best Rate,made booking barcelona hotel using bookingcom found room cheaper hotel website days later found hotel hrs of euros less per night included breakfast hotel charging of per person booked hrs,"Date of experience: June 23, 2024",en,0
176,special offers,site often special offers high quality hotels find anywhere else improve bit user friendliness site,"Date of experience: October 14, 2024",en,4
177,latest arrival time/reception hours…,hrs seldom information latest check arrival time hotels place information small print category hotels must fill otherwise hrs greats switching language german seems possible hrs portal,"Date of experience: July 15, 2024",en,3
178,I am very satisfied you can improve…,satisfied improve web page italian ask points applied automatically kind regards drmaurizio blast,"Date of experience: September 04, 2024",en,4
179,HrS was available to show their…,hrs available show discount answering questions joining half priced hotel charges recommended,"Date of experience: September 28, 2024",en,4
180,A great finding,much known like otis really worth book rooms want save money terrific prices beats rivals safe travels thank,"Date of experience: December 17, 2024",en,4
181,Good choice!,easy booking process wide selection hotels even small cities convenient rates la reward points,"Date of experience: December 16, 2024",en,4
182,Its a really good site when you need to…,really good site need book several rooms wants find good pricing,"Date of experience: December 16, 2024",en,4
183,This was a great hotel,great hotel comfortable perfect short staysthe staff really helpful upon arrival nice location close centre rooms clean tidytheir breakfast delicious well much options choose wonderful experience hold,"Date of experience: November 18, 2024",en,4
184,Friendly staff,friendly staff good location clean spacious room,"Date of experience: December 11, 2024",en,4
185,First time here! Very positive impressions!,found site using catgut live tried find best route conditions trip registered became remember myers offers became available made reservation big discount sure live checked offers site know real savemoney offer,"Date of experience: October 11, 2024",en,4
186,Effective jotel booking portal,simple fast bookings hotels particular germany choice big sometimes interesting special rates,"Date of experience: November 17, 2024",en,4
187,Sometimes the prices on this site are better than other sites. Quick booking. User friendly site,hotels site significant discount business people although recently number limited past,"Date of experience: November 21, 2024",en,3
188,Fully satisfied,best prices easy booking process,"Date of experience: December 14, 2024",en,4
189,Great trough the app,easy process trough app quick confirmation hotel rate half price hotel website greathopefully wont problem check stay confirm a stars,"Date of experience: October 12, 2024",en,4
190,You can book any hotel easily by using…,book hotel easily using valid credit card,"Date of experience: November 27, 2024",en,4
191,HRS is uniquely trustworthy,hrs reliable hotel rating scheme always point ever issues never hrs hotel hrs staff email away humans end willing able actually helpplus course consistently great rates like bookingcom shows rates of difference room depending search,"Date of experience: July 25, 2024",en,4
